,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.008541464805603027,0.878173828125,0.07921046018600464,0.034196436405181885,,,,,,
sub-tree-avg,,,,,0.2049560546875,0.25091552734375,0.005489349365234375,0.067352294921875,0.369354248046875,0.10202407836914062
