,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0024858713150024414,0.9493408203125,0.006646156311035156,0.041553497314453125,,,,,,
sub-tree-avg,,,,,0.1602630615234375,0.053689002990722656,0.004648923873901367,0.09647750854492188,0.02156805992126465,0.66326904296875
