,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.09852218627929688,0.9014892578125,,,,,,
sub-tree-avg,,,0.085113525390625,0.453826904296875,0.016382217407226562,0.1611480712890625,0.200592041015625,0.08284235000610352
