,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.03193473815917969,0.9681396484375,,,,,,
sub-tree-avg,,,0.007159233093261719,0.8226318359375,0.07400703430175781,0.08448028564453125,0.011269569396972656,0.00044704973697662354
