,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.8179931640625,0.1820068359375,,,,,,
sub-tree-avg,,,0.1549835205078125,0.310455322265625,0.03844642639160156,0.167144775390625,0.14666748046875,0.182342529296875
