,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.20444488525390625,0.79547119140625,,,,,,
sub-tree-avg,,,0.037065982818603516,0.8876953125,0.010824203491210938,0.01996433734893799,0.025771617889404297,0.01871204376220703
