,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.0002699941396713257,0.011072874069213867,0.9307861328125,0.057961463928222656,,,,,,,
sub-tree-avg,,,0.11238861083984375,,0.005443572998046875,0.10381317138671875,0.117401123046875,0.027587890625,0.0020759105682373047,0.6309814453125,0.0002804696559906006
