,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.0007032603025436401,0.08831787109375,0.906982421875,0.003880739212036133,,,,,,,
sub-tree-avg,,,0.05686187744140625,,0.0002951323986053467,0.019292831420898438,0.262420654296875,0.06337738037109375,0.009822845458984375,0.58477783203125,0.0031746625900268555
