,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt,short
parent-tree-avg,0.004530191421508789,0.3207054138183594,0.6590576171875,0.0157318115234375,,,,,,,
sub-tree-avg,,,0.0004298388957977295,,1.1011958122253418e-05,0.00023362040519714355,0.0008793920278549194,0.00029881298542022705,0.10426902770996094,0.00042398273944854736,0.8934326171875
