,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.1327056884765625,0.351348876953125,0.3365287780761719,0.1794414520263672,,,,,
sub-tree-avg,,,,,0.318756103515625,0.1388397216796875,0.20133209228515625,0.019224166870117188,0.3218994140625
