,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt,short
parent-tree-avg,0.09102630615234375,0.1036376953125,0.788818359375,0.016509056091308594,,,,,,,
sub-tree-avg,,,0.032039642333984375,,0.0001700669527053833,0.007984280586242676,0.0003820657730102539,0.05113983154296875,0.2419414520263672,0.10516738891601562,0.56121826171875
