,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.8167724609375,0.183258056640625,,,,,
sub-tree-avg,,,0.37158203125,0.44537353515625,0.060886383056640625,0.022823333740234375,0.09929275512695312
