,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.00028121471405029297,0.001244187355041504,0.997802734375,0.0005924701690673828,,,,,,,
sub-tree-avg,,,0.10062408447265625,,0.047153472900390625,0.08208465576171875,0.006112098693847656,0.02025604248046875,0.028657913208007812,0.71478271484375,0.00033420324325561523
