,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0024858713150024414,0.9493408203125,0.006646156311035156,0.041553497314453125,,,,,
sub-tree-avg,,,,,0.180816650390625,0.06146430969238281,0.005293130874633789,0.025269031524658203,0.7271728515625
