,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.12957239151000977,0.17450809478759766,0.6566314697265625,0.0393218994140625,,,,,,,
sub-tree-avg,,,0.0016078948974609375,,9.059906005859375e-06,0.0004990100860595703,0.0005580782890319824,0.0012013018131256104,0.82275390625,0.17275238037109375,0.0004958212375640869
