,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.04686546325683594,0.953125,,,,,
sub-tree-avg,,,0.03401756286621094,0.73846435546875,0.010984420776367188,0.2141094207763672,0.002357199788093567
