,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.033507347106933594,0.966552734375,,,,,
sub-tree-avg,,,0.06620407104492188,0.8604736328125,0.044332027435302734,0.021145105361938477,0.007839083671569824
