,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.019237518310546875,0.980712890625,,,,,
sub-tree-avg,,,0.005682945251464844,0.9693603515625,0.0077877044677734375,0.016666889190673828,0.0004731416702270508
