,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.1040802001953125,0.8958740234375,,,,,
sub-tree-avg,,,0.004420816898345947,0.9464111328125,0.003281235694885254,0.041172027587890625,0.004655808210372925
