,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.029941558837890625,0.969970703125,,,,,
sub-tree-avg,,,0.020105838775634766,0.8369140625,0.04532814025878906,0.09686851501464844,0.0009265989065170288
