,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.05322074890136719,0.94677734375,,,,,
sub-tree-avg,,,0.057654380798339844,0.861083984375,0.02432727813720703,0.053699493408203125,0.0033308714628219604
