,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.0031005144119262695,0.0021615028381347656,0.96826171875,0.026462316513061523,,,,,,,
final-tree-avg,,,0.023967742919921875,,0.0004291534423828125,0.032413482666015625,0.03279304504394531,0.004291057586669922,0.0959014892578125,0.8096923828125,0.0004210174083709717
