,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.010907649993896484,0.94775390625,0.0019297003746032715,0.03947031497955322,,,,,
final-tree-avg,,,,,0.1286468505859375,0.74163818359375,0.08763885498046875,0.034576416015625,0.007597684860229492
