,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt
parent-tree-avg,0.06972503662109375,0.0546417236328125,0.870361328125,0.005155086517333984,,,,,,
final-tree-avg,,,0.09499740600585938,,0.0006243288516998291,0.016771793365478516,0.0006502419710159302,0.07538223266601562,0.22772216796875,0.437957763671875
