,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.022134780883789062,0.9703369140625,0.0033110380172729492,0.00421142578125,,
sub-tree-avg,,,,,0.029642105102539062,0.9703369140625
