,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.2012939453125,0.23792648315429688,0.556488037109375,0.004245281219482422,,,,,,,
sub-tree-avg,,,0.014882564544677734,,0.0003160238265991211,0.00394672155380249,0.003505796194076538,0.02389669418334961,0.32293701171875,0.1402726173400879,0.49017333984375
