,dress,shirt,pant,jacket,longsleeve,shortsleeve,sweatshirt
parent-tree-avg,0.030475616455078125,0.859619140625,0.10426187515258789,0.005745053291320801,,,
sub-tree-avg,,,,,0.805908203125,0.194183349609375,0.0
