,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.012543678283691406,0.9544677734375,0.01654350757598877,0.016348838806152344,,
sub-tree-avg,,,,,0.045151710510253906,0.9547119140625
