,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.0006603002548217773,0.9864501953125,0.003256678581237793,0.009649991989135742,,
sub-tree-avg,,,,,0.06890869140625,0.93115234375
