,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.0033566951751708984,0.769989013671875,0.20932966470718384,0.017284393310546875,,
sub-tree-avg,,,,,0.20800018310546875,0.7919921875
