,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.0013172626495361328,0.9853515625,0.011261552572250366,0.002097010612487793,,
sub-tree-avg,,,,,0.017911911010742188,0.9820556640625
