,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.08030128479003906,0.80450439453125,0.021791696548461914,0.09343528747558594,,
sub-tree-avg,,,,,0.10139846801757812,0.8985595703125
