,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.03329277038574219,0.86553955078125,0.09499025344848633,0.0061779022216796875,,
sub-tree-avg,,,,,0.05224418640136719,0.94775390625
