,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.010907649993896484,0.94775390625,0.0019297003746032715,0.03947031497955322,,
sub-tree-avg,,,,,0.15239906311035156,0.84765625
