,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.0030818581581115723,0.9931640625,0.00041475892066955566,0.003374040126800537,,
sub-tree-avg,,,,,0.17441177368164062,0.82568359375
