,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.012129783630371094,0.2465667724609375,0.6514892578125,0.08986282348632812,,,,,,,
sub-tree-avg,,,0.097412109375,,0.004458427429199219,0.03055572509765625,0.414581298828125,0.0490264892578125,0.009305000305175781,0.391265869140625,0.0032672882080078125
