,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress,skirt
parent-tree-avg,0.8516845703125,0.018081188201904297,0.095489501953125,0.03467226028442383,,,,,,,,,,
final-tree-avg,,,,,0.14921951293945312,0.04935646057128906,0.003269672393798828,0.14935302734375,0.0015106201171875,0.00025534629821777344,0.0005215257406234741,3.272294998168945e-05,0.0035179853439331055,0.6429443359375
