,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress,skirt
parent-tree-avg,0.7459716796875,0.2045135498046875,0.040111541748046875,0.00940847396850586,,,,,,,,,,
final-tree-avg,,,,,0.03227996826171875,0.05953216552734375,0.035022735595703125,0.1255340576171875,0.06714630126953125,0.025127410888671875,0.059139251708984375,0.038585662841796875,0.21692657470703125,0.3406982421875
