,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress,skirt
parent-tree-avg,0.42742919921875,0.0830078125,0.30588531494140625,0.18369770050048828,,,,,,,,,,
final-tree-avg,,,,,0.25836181640625,0.2391815185546875,0.00048285722732543945,0.144287109375,0.015370845794677734,0.011638641357421875,0.0005856901407241821,5.8710575103759766e-06,0.008299946784973145,0.3218994140625
