,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress
parent-tree-avg,0.5513916015625,0.413665771484375,0.0020531415939331055,0.03293931484222412,,,,,,,,,
final-tree-avg,0.4539794921875,,,,0.011075019836425781,0.023912429809570312,0.005063772201538086,0.004491090774536133,0.07614517211914062,0.32281494140625,0.02816009521484375,0.067352294921875,0.0071315765380859375
