,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress
parent-tree-avg,0.733154296875,0.22747802734375,0.0261688232421875,0.013079166412353516,,,,,,,,,
final-tree-avg,0.3179931640625,,,,0.020966529846191406,0.06754875183105469,0.018842458724975586,0.0018568634986877441,0.03536486625671387,0.273162841796875,0.259979248046875,0.003383159637451172,0.000994563102722168
