,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt,short
parent-tree-avg,0.022233963012695312,0.079071044921875,0.7564697265625,0.14217019081115723,,,,,,,
final-tree-avg,,,0.025331497192382812,,0.0009016245603561401,0.004685267806053162,0.00906267762184143,0.018129587173461914,0.12943458557128906,0.019502639770507812,0.79296875
