,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.89111328125,0.049468994140625,0.006669521331787109,0.05280876159667969,,,,,,,,,
final-tree-avg,0.53631591796875,,,,0.001029372215270996,0.007150173187255859,0.004598259925842285,0.007164955139160156,0.08933258056640625,0.1002655029296875,0.08892822265625,0.023485183715820312,0.1416778564453125
