,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress,skirt
parent-tree-avg,0.6820068359375,0.232635498046875,0.0608978271484375,0.024466514587402344,,,,,,,,,,
final-tree-avg,,,,,0.08257293701171875,0.188629150390625,0.041004180908203125,0.03007030487060547,0.005289316177368164,0.01837778091430664,0.006138324737548828,0.00120466947555542,0.02099752426147461,0.60565185546875
