,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.014158248901367188,0.9437255859375,0.027478814125061035,0.014647960662841797,,
sub-tree-avg,,,,,0.10452461242675781,0.8955078125
