,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.013477325439453125,0.98095703125,0.0008764863014221191,0.004739522933959961,,
sub-tree-avg,,,,,0.018741607666015625,0.981201171875
