,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.00518798828125,0.96728515625,0.0035929083824157715,0.023995161056518555,,
sub-tree-avg,,,,,0.1112060546875,0.8887939453125
