,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.008006095886230469,0.7428741455078125,0.22246789932250977,0.026680946350097656,,
sub-tree-avg,,,,,0.03241157531738281,0.967529296875
