,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.0015900135040283203,0.9759521484375,0.020578771829605103,0.0018384456634521484,,
sub-tree-avg,,,,,0.1378173828125,0.8623046875
