,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.010798931121826172,0.028606414794921875,0.846923828125,0.11356830596923828,,,,,,,,
stage-tree-avg,,,0.0029616355895996094,,9.553134441375732e-05,0.001803755760192871,0.007596373558044434,0.0012270212173461914,0.76123046875,0.2248058319091797,0.0003822445869445801,
stage-tree-avg,,,,,,,,,,,0.2772636413574219,0.72265625
