,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.00039446353912353516,0.0019845962524414062,0.99658203125,0.0009759664535522461,,,,,,,
stage-tree-avg,,,0.1048583984375,,0.04466819763183594,0.09626007080078125,0.0063323974609375,0.025432586669921875,0.027574539184570312,0.6943359375,0.00045740604400634766
