,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.0024585723876953125,0.003471851348876953,0.9744873046875,0.019639015197753906,,,,,,,
stage-tree-avg,,,0.031734466552734375,,0.0027244091033935547,0.172760009765625,0.012080192565917969,0.0406494140625,0.180145263671875,0.5587158203125,0.0011894702911376953
