,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.010329723358154297,0.974609375,0.01348114013671875,0.0016008615493774414,,,,,
stage-tree-avg,,,,,0.53997802734375,0.04161834716796875,0.009660720825195312,0.390228271484375,0.018434524536132812
