,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0017314553260803223,0.96337890625,0.03406733274459839,0.0008215457201004028,,,,,
stage-tree-avg,,,,,0.7205810546875,0.19062042236328125,0.014501571655273438,0.038631439208984375,0.035622358322143555
