,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.004956245422363281,0.017545700073242188,0.969482421875,0.007898330688476562,,,,,,,,
stage-tree-avg,,,0.0033960342407226562,,8.623301982879639e-05,0.003302335739135742,0.00030325353145599365,0.0030791759490966797,0.973388671875,0.015560150146484375,0.0007952600717544556,
stage-tree-avg,,,,,,,,,,,0.03012526035308838,0.9698486328125
