,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Wrap Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.9443359375,0.019150972366333008,0.0034957528114318848,0.03299760818481445,,,,,,,,,
stage-tree-avg,0.62359619140625,,,,0.004457235336303711,0.006040096282958984,0.0015232563018798828,0.0003829449415206909,0.0013797879219055176,0.1762847900390625,0.02947235107421875,0.0020769834518432617,0.15484619140625
