,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.1829681396484375,0.07995414733886719,0.47354888916015625,0.263519287109375,,,,,,,,
stage-tree-avg,,,0.004456043243408203,,0.00016239285469055176,0.0031266212463378906,0.003057122230529785,0.0009508132934570312,0.7176513671875,0.25006103515625,0.020542383193969727,
stage-tree-avg,,,,,,,,,,,0.8583984375,0.14166259765625
