,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.035086631774902344,0.008655548095703125,0.951416015625,0.00478363037109375,,,,,,,,
stage-tree-avg,,,0.005146026611328125,,1.849234104156494e-05,0.0013899505138397217,0.000253528356552124,0.008241474628448486,0.69232177734375,0.2807960510253906,0.011882364749908447,
stage-tree-avg,,,,,,,,,,,0.64166259765625,0.3583831787109375
