,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress,skirt
parent-tree-avg,0.476104736328125,0.0909881591796875,0.410308837890625,0.022577285766601562,,,,,,,,,,
stage-tree-avg,,,,,0.0572967529296875,0.142669677734375,0.030517578125,0.168060302734375,0.021072864532470703,0.014353275299072266,0.027812957763671875,0.012976646423339844,0.018759727478027344,0.50640869140625
