,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.22015953063964844,0.1535491943359375,0.4883995056152344,0.1379070281982422,,,,,,,
sub-tree-avg,,,0.011145353317260742,,0.001103624701499939,0.00790327787399292,0.039786458015441895,0.004499554634094238,0.03458595275878906,0.8817138671875,0.01928091049194336
