,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.018576860427856445,0.026350975036621094,0.9432373046875,0.011826515197753906,,,,,,,
sub-tree-avg,,,0.1144256591796875,,0.316192626953125,0.05274200439453125,0.007915019989013672,0.04075431823730469,0.340362548828125,0.12554931640625,0.0021359920501708984
