,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.301849365234375,0.3750152587890625,0.15515756607055664,0.1680450439453125,,,,,,
sub-tree-avg,,,,,0.13177490234375,0.010082244873046875,0.029155731201171875,0.61566162109375,0.008318424224853516,0.204864501953125
