,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.0009363293647766113,0.008387565612792969,0.9874267578125,0.0032563209533691406,,,,,,,
sub-tree-avg,,,0.0024216175079345703,,0.002868741750717163,0.0009977519512176514,0.00024059414863586426,0.0004351288080215454,0.67218017578125,0.320709228515625,7.940828800201416e-05
