,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.04653167724609375,0.6102294921875,0.214630126953125,0.12848663330078125,,,,,,
sub-tree-avg,,,,,0.026004791259765625,0.017667770385742188,0.0025120973587036133,0.009949684143066406,0.0013756752014160156,0.9425048828125
